value,user_id
TAJ07HBD5AJ,62
ZSU57EYT0KF,196
IIU87NBI6VR,271
TFY07UZU9VF,123
KSO04EMP5PF,217
NIW52WGM8QM,146
SXH71NQP6FW,435
CIM63DIF8ZB,174
BCU84RNZ0FM,383
CUR77GUX0BP,117
WNX69VGN6NG,177
LQW33YXA9XV,178
WRP25XMK6XA,292
DLG97FJJ4AF,105
LKX97WTN5QM,152
KKU87RHV6WZ,83
HJX86LRL2HP,464
IPB85DLD4VL,97
HPB22DOU4MS,184
MRW19KWW2UH,411
EDC84HFD6IK,84
QJE47RBK8HC,131
VXM22QNL4PP,172
CNG74COX5YJ,296
RYX71TSY2DN,372
CTV48QGY6AK,120
ZEB48PZQ5OK,443
XUC78YPU6SG,104
FJP51ZUI1PB,121
ECY14XLV3CC,398
EII64WJA8VM,71
WJY59VJG7ZO,117
WFU69LRV6BK,3
YUC82YWR4XF,460
RLP99PJY7DU,121
JJD85GRT3BI,210
VDJ82LIW5FG,230
HED82EJF4XF,278
UKD25LXU3UD,498
YEB82FQP8NJ,78
IPW75GPB3XH,467
GQW67ZLH1HN,251
LJU18HBP4LL,360
QMO39VYK3LQ,288
ZZB37KIO2FV,262
WVC39HBP2OR,471
LWA97OXR6GA,220
MEO70CLF7RD,218
MXV18TJH1XR,166
TZK76GYQ4CB,212
UZV14LRP8FK,222
DJS04BEQ4SN,172
MHC54EGW6OX,95
LUI33VYO8DW,387
GTT89MBE2PX,19
LWO53HLL3YW,10
MEP12MGZ7JH,107
NFB11GLN5TA,498
UMT54LNL6TV,261
MLU77BCH8HJ,86
UNW51PFH7KF,305
AQB71IOP1GV,285
MHK34FAJ5YO,174
RFU54DKD0WM,207
EHG34JCQ9IP,25
OBH64YQI4DY,238
ISG79HVN2RB,73
JQH71LPI1NL,156
UNS46TMW7FN,42
HYE56DCC8ZM,146
FWY98GDL1ZW,366
LBY85DEE8HM,393
IHB91WQR3PV,313
BKY42BWD3ES,315
OGE15JEQ5KB,490
YGZ53PSK8QT,42
FQG75QCC1FH,207
MFD85ZRC3DI,490
KTF03GEZ7JI,19
ILI86IOG4XQ,355
DMV52FPJ8GE,182
OGJ51OTH0YU,224
WSO76BIT9PQ,277
WGR71FWL6FG,206
GGS69BON5DF,97
VVV92FSG4XN,174
BPF16WOQ0DF,462
TLO00SIQ0GJ,219
KEL61KPF2NR,171
AAG24IEI0RK,440
EOK13NQS5IS,417
EWD26GIS2FL,126
QVL63PRD5QV,249
HEB77SQV8HA,215
WPE31WFO9CV,332
TJC23XZJ6GX,275
FJR56COD0DT,429
YJD75VNJ2TF,379
KTI18CJT6XP,236
IQJ18GFT2XW,149
FJT56NJG7FR,48
QUF76JAF8JC,382
YTY75DTP9HA,101
IKW29UOP7JI,110
KCD03DYI2ZO,241
ZTG25VKW3JL,203
SHS55ZYP3TB,343
FHQ46QCL2TQ,258
OIF86LEH0QJ,259
FXQ16MDT3VL,435
LCM55SDT2QP,110
NKI94LYX0HL,195
MVF05GRW0DS,344
HDV12RSW5TO,346
GNK06HPL8SL,438
YBX43PRE2VX,55
LCR84BDJ7CL,182
MUZ61MHM6GJ,15
MWG38WVC1BE,304
ROV84BDN2MB,297
HEL25RDX7TY,134
JPK75KXJ9DE,128
RYH86DGE3EE,399
YRO51TSU2QK,409
AWC44PDR3PU,407
WTV58UBY4LN,105
NVW32GGZ2FZ,251
YWI88ANB4VJ,151
KJJ60JKZ4SU,191
WSE62MTH1ON,263
CWM67TBQ5AE,325
ROR25VLP3RN,34
NLG17XLU7FN,470
UEW23GCU5VI,54
LFF47TUL9IR,406
FHH08JCI6QC,118
YEW96GHS3OL,402
RWT22XTV2IM,121
BWU66YYK2OT,485
IBE83QVJ4FE,474
GBT28CMG2DB,2
PHO77MHC2NA,331
TWC28JAL9OR,69
PWR62CDK5KV,259
WSX89GUX3WG,144
PLK42WJH2VW,228
HDM10LVP6KB,400
NCN67FMN4UN,67
TEE78MNN3RG,218
PER59VMN0QN,70
NVY56JLS3CP,414
MUD76MHL7OG,483
PFO93TTH0SX,1
RWY78XJP7CU,462
FTS78FIX6AF,432
PGM62FUC5CT,148
YJJ33NMH3QB,271
YDE79QYC5BQ,433
FVC03CEL6JJ,399
XUR64KNF4HD,76
GOG32MCY2ZH,14
PIQ55HET8GK,71
MEY76LFB4IU,449
XAX27ENF2WT,135
PSL74OOK0YE,391
MPN25KVC7YW,21
HEW26HUK4NA,306
BJQ08YBU3MY,445
VIT86OKV6WR,272
WKN67WWS3PH,87
TEN69CIC4KI,226
MHK39BUE0XM,490
IWI47QTU0BW,365
KGN55RRO8WI,64
IHT47QIV3JE,52
CLO12UMX4JY,390
BZH34JAJ8XJ,429
EPV20HWE8CM,410
KST33FGE8AT,445
BJB79JJO6DE,128
FCA46NDL7DP,375
WNM93MFM4JI,65
GKC83HCJ3VY,180
RTV51PUW1TA,378
EJL40KQS6QG,281
RIL15AZL6JW,264
SEM42LEV7AP,41
NKY98ZQQ7VI,263
RMB03UZG2DW,246
VEN03CKK5LR,424
MPP37KGQ7JD,304
EQF36MWI2WY,443
BKU21CGY2MH,401
FVJ80LWE5UZ,37
WIC28FOC9SR,225
MTG37JLJ3NP,292
HAY25DDU7CN,307
DXY26UGA1DQ,476
OOF35HED0LJ,473
ZNV20RIU1PB,206
DGZ83SLP2VO,75
XGT87SKF9QR,450
EQA51OLV7SD,124
RSU80PQU6FK,286
AFQ35QQI0HB,382
RAP63RAH8JH,453
LPT35TPU9FO,227
JVP12LJQ5UC,281
NTO51GNK6YQ,44
UNQ79XGS2TR,489
XDX66GRG8TU,317
YBG33DBW3JU,237
NDW26LSU2RS,57
NBW13LJJ9PL,129
DVX46RVE8MA,144
UNW78MUL5VF,78
JWC88TFB8IG,389
OQM13GHF4VU,247
RFC76LED1ML,307
NSR48SHD1IO,67
HVN45YJZ1QX,194
CKJ22LCA3BQ,83
LOP82PCB5BV,197
RBP34MHS5UM,354
IAO56TZI5MB,83
RPT17DKI6KL,152
LUH35VVY7SL,485
KLW18NSY3LV,137
RAS66XTU8HU,203
NZH56CTM9FU,86
GNQ96VVT6FB,19
EWF92KFF8VH,43
RCJ32MSR9CV,136
NIW82DQJ9LB,278
HBE06JFC2FO,361
MEM53PSY1WF,122
LXC91NZT0UN,32
RNX68NTC9YQ,433
RRP15FZP6EI,196
UJR59GXK6YA,26
NCA71QND1UY,73
CNX26BMX7NG,295
FEU78QNB3FJ,287
PUU05BOW8IO,361
ISG27OZK4HQ,132
TPV32ASH8LT,260
MYO51PKG1VV,60
TMV25SLN0OS,66
NMD66SMZ1EI,385
BTN71HBE3IC,9
GQP97RZE7YQ,493
FCT40SCB2FR,305
XDO64EPY5KH,238
OFI55FSD3ZF,204
MOU44OUA2AO,253
TFD35HIW1SE,449
RNL82BIG4FN,302
EJP53JYM4VR,73
CTN36QUY5RY,52
EDT38LWB2DL,16
BFJ81CFQ6VW,22
MYC38AWE5MH,46
IXI77TTG1XN,26
UEP10QRU5VF,160
DPG57STR0TM,49
WLX63VOL8YQ,15
JXR10LVM1BM,480
GJN29SWJ5EP,166
HPJ78OHB0XI,289
BJV03ZJD5WV,441
YNS67RKA8LE,297
CLG10NNT6ZV,53
OSL82OSA5UN,75
WEB45XCE3CU,330
MAQ94HIR3QS,340
SFW38XMH5PB,495
LHW03BKL7LG,189
BXQ37SBG1TG,253
UFK73UPL6BG,39
WGU77PQP3YJ,353
QMP30MMT7PF,22
BMS40FKO7IQ,233
ZXN95LXL0FE,420
AKL68HPR9DD,86
IOF75PBW7XV,271
JWJ54WYX1WF,214
LMG77OMC1ZF,243
FPT53XUG5SI,383
DOG24ONG2PS,281
EAX04PMC7WY,265
FBX52DOH6BH,68
QRX19VTC9KR,73
XUB43HTC6QO,262
GJO83EWB3QX,448
HPC96SWW8GD,206
XBR91HVX8HL,214
URM57QFN7TN,473
URM35CQV1BX,169
CIC82DTW9AZ,455
PBK52IDG1UU,333
NOW13MFK7EL,409
QEP41EVG6VY,407
KTY98TZE2LV,340
LKR25MDX7CP,300
QGP29OCH7SX,101
THY18BSF8FK,115
LTA81GXF7SW,81
TIM62KSD2QU,272
GUW16OXC8EX,44
EEQ01TWH4GH,267
RJJ36XGU1JW,264
XLI44AVN6SN,136
DJQ92DYO9TH,264
TZO45WHP5SA,365
QKT27LEQ1MN,123
XGU81ALB1VJ,463
VSQ25DBY8QD,359
JMN18KOT2HB,178
GPR73UKF1ZR,257
ELW61LNY3EL,416
ULR32BCL4BS,217
QUZ52BMS2DY,47
KFE61ECK1VY,493
NHP90URC7XM,321
GDX67BLP5LJ,58
YSH24HBY9FY,209
HVI88FKW7TR,45
MRW27VXL4CY,360
XIA63FDS4KR,429
EIT14IBO2SC,344
VJL81ILJ0DB,144
UZA86VOT0UU,388
HLB32HOR7XZ,325
FEK88FMJ2EQ,259
EIL86HFJ3NV,325
EZI93IWX6EV,212
LJC38XUU9AC,402
JZP16MBW1ZE,92
COH40GRR5EY,272
AXB55FFM1KN,429
LGP48RKI3BT,493
ICY33NAO1VC,142
ODA85TZJ4LS,213
AWD26PRQ5FN,266
CBI97QJJ2SY,368
LGS82MAV5NJ,306
TAM14BXP3TW,252
BDM84SYW6ED,380
OUI36KEJ7NX,430
QRN33HFS6YU,4
TVY88QHV4CJ,158
HVQ62LPN4ZX,283
GRS22PEC8DB,493
XMP21HTF4SB,89
XWQ32ETK5YQ,150
YKF42JYI2FG,131
TIG48UNJ8SE,310
ANP55YLX8QO,19
JSK96IOD8FC,417
GBR48DSO1KE,367
HQX85BAK3EG,29
OGR93ZFN9UJ,165
VKW09ISL9MR,47
ITQ72PJE2EU,217
QPY56HIV4MG,18
WNQ14JJQ7CL,16
MMK70FCS8ML,443
CJM84IMF7LF,437
NUJ35BEK2YX,414
OGK20JSV8NH,439
MSL64ILE6WM,173
PWL67DTQ1AQ,279
BET19VVE7VK,336
FWJ96SVX6UL,43
STG22DQW3YM,177
UWY66OMT7KI,366
OHS62KFP3BU,251
FOR22BSR4RF,50
NCL61HBH0BQ,475
UBX77ANK6QU,271
SLE37ZDI0LK,222
JEK37KGF2VO,358
EGM25JMO9TK,309
LFQ41WJE2OC,360
TSV38UGD6LY,225
OCU88UAE5GY,440
TSK47RHJ7YP,99
TAH01JCQ7IC,112
STH53EJU3TL,30
OVQ09NLW6LY,40
YCP89BTB7WK,121
FTE54JJC7WF,397
BKA43TQV1FF,286
RAR47JDM9EI,152
VRQ13BGY7KW,68
IMJ54EKG9QY,253
NQU65MVR1SK,229
FBE36KPD1PC,321
FKJ96GBY3YV,333
PJI75NIG5WX,441
PXC75KXI6UN,105
BCN89DDD4MU,224
GBX08FIS6GV,54
RIS88VSI7TQ,271
BSE69HNE1CY,31
AAC17CIR1OX,83
NFE52GHZ0MN,41
EBK16VRG3BO,248
SKH51INI0NU,386
BVC75VQV3HX,145
GTO77YJQ5GM,100
LVD08IUK0VV,26
RBU64CJW7TQ,151
IQO65XMZ3OO,228
VNU45IJY6WX,244
MKU27SOM4EE,169
AIH17OHT7WI,415
NQY26WKF9FH,447
YKK23VSP6PO,463
VCX82NJT8PO,203
RLI34SOT1RT,466
SSP76KTO0NI,28
PCU65BBV6FE,130
LAW47XES2RO,131
WUT38SVA8RX,36
TJO59VPJ0UU,261
TDN68GVW4SO,52
MWI39XSO6WV,320
GAF00JZB2ZP,126
FHY70MBY6GC,434
RFH50WUI9CJ,403
ZLJ28MQP1BU,240
CGF87LHP3GJ,299
JEQ68YWZ3TM,77
VGC94IBH9OO,19
KBU75KFW8MV,485
NOL74LLL6EX,416
CRC81QGD5QY,76
ECA81NCE5PP,52
MBZ95DKP3NK,475
JMI41MUY7OU,293
GCX33JUV7PS,220
LBX28CTO7JZ,357
RGX76VXQ2OK,369
HTL02TDU1PL,86
ESI86RBN1AW,310
SFD80KXX1ST,250
OOD95TNR1SJ,23
IBY34DTG8MS,49
GBH73SNN6TS,303
RBK87GSV5YI,149
OME92LPL2QC,294
LGX68XRY8UN,113
NYC41CLV7LM,304
WPN21QDF0BU,151
CKF37AML5IG,414
GZY06FHV4QP,256
SYO16PSL4YU,193
RGH38JVR1WS,470
FSG29SDX9DB,113
CBB04OHK9HB,129
AMB28MYY7KQ,198
HGF57TTG5TC,106
HFV00SSJ5PB,397
TER27MWW2KP,488
WLG08HVR1DH,51
NPG32GDM1JU,490
FGY36KQG2LP,49
QQJ74SFG4MX,33
TGI70LEF1PT,361
LOQ21TPF4JJ,11
RQB67GIN8OD,386
JSU88WQR6PT,68
XLP85PWH3BC,390
PID97GNC5HE,189
RBZ33WOK8KP,394
RQG57TTX6ZC,290
BVB41IGJ5CL,89
EAP44KPD1WB,187
TKZ04QWE3PK,496
NDF25ETR1LZ,134
LQM30QNY4OX,454
QYN18YVW1JI,408
BXJ32ULK5HC,156
SYX32MIU6QP,116
OAT52NEW8WD,292
RCM57OOX6EI,122
NKG22MBB4BE,347
ESD25DVF3JI,383
EJE32CIR9UL,328
WFD68FKN5ON,152
PJK23DXK1WF,78
DDE78CBB4HJ,184
EPZ87KCB3IL,137
YET60MPE3RB,137
KFR06QUX2II,94
NDH54IRF3ZJ,14
UGC05QMW5SY,441
OPY80WVH4IF,262
FBY36BWN6UP,217
